,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-01,1,0.875797851843029,
1,2020-03-02,1,0.875797851843029,
2,2020-03-03,0,0.0,
3,2020-03-04,0,0.0,
4,2020-03-05,1,0.875797851843029,
5,2020-03-06,0,0.0,
6,2020-03-07,0,0.0,0.3753419365041553
7,2020-03-08,1,0.875797851843029,0.3753419365041553
8,2020-03-09,1,0.875797851843029,0.3753419365041553
9,2020-03-10,4,3.503191407372116,0.875797851843029
10,2020-03-11,6,5.2547871110581745,1.6264817248513397
11,2020-03-12,7,6.130584962901203,2.3771655978596504
12,2020-03-13,14,12.261169925802406,4.128761301545708
13,2020-03-14,7,6.130584962901203,5.004559153388738
14,2020-03-15,12,10.509574222116349,6.38081292057064
15,2020-03-16,15,13.136967777645436,8.132408624256698
16,2020-03-17,24,21.019148444232698,10.634688200951068
17,2020-03-18,32,28.02553125897693,13.887651650653746
18,2020-03-19,35,30.652924814506015,17.39084305802586
19,2020-03-20,52,45.54148829583751,22.145174253745164
20,2020-03-21,30,26.273935555290873,25.022795766943688
21,2020-03-22,26,22.770744147918755,26.774391470629745
22,2020-03-23,64,56.05106251795386,32.90497643353095
23,2020-03-24,67,58.67845607348295,38.284877523423845
24,2020-03-25,61,53.42366896242477,41.91318290963068
25,2020-03-26,92,80.57340236955868,49.044679703209624
26,2020-03-27,70,61.30584962901203,51.29673132223456
27,2020-03-28,79,69.18803029559929,57.42731628513576
28,2020-03-29,108,94.58616799904713,67.68666254958268
29,2020-03-30,122,106.84733792484954,74.94327332199634
30,2020-03-31,131,114.7295185914368,82.95056796741832
31,2020-04-01,107,93.7103701472041,88.70581099381536
32,2020-04-02,102,89.33138088798896,89.95695078216255
33,2020-04-03,81,70.93962599928535,91.33320454934446
34,2020-04-04,87,76.19441311034353,92.33411638002221
35,2020-04-05,72,63.057445332698094,87.83001314197234
36,2020-04-06,63,55.17526466611083,80.44828839072395
37,2020-04-07,77,67.43643459191324,73.69213353364916
38,2020-04-08,77,67.43643459191324,69.9387141686076
39,2020-04-09,49,42.91409474030842,63.30767329036753
40,2020-04-10,60,52.547871110581745,60.68027973483844
41,2020-04-11,33,28.901329110819958,53.924124877763646
42,2020-04-12,46,40.28670118477934,50.67116142806097
43,2020-04-13,37,32.40452051819207,47.418197978358286
44,2020-04-14,71,62.18164748085506,46.66751410534998
45,2020-04-15,78,68.31223244375627,46.7926280841847
46,2020-04-16,116,101.59255081379136,55.17526466611083
47,2020-04-17,97,84.95239162877381,59.80448188299541
48,2020-04-18,109,95.46196585089017,69.31314427443401
49,2020-04-19,64,56.05106251795386,71.56519589345895
50,2020-04-20,59,51.67207325873871,74.31770342782275
51,2020-04-21,87,76.19441311034353,76.31952708917825
52,2020-04-22,107,93.7103701472041,79.94783247538508
53,2020-04-23,91,79.69760451771565,76.81998300451711
54,2020-04-24,73,63.93324318454112,73.81724751248387
55,2020-04-25,65,56.92686036979689,68.31223244375627
56,2020-04-26,50,43.78989259215145,66.56063674007021
57,2020-04-27,56,49.044679703209624,66.18529480356605
58,2020-04-28,44,38.535105481093275,60.80539371367316
59,2020-04-29,75,65.68483888822718,56.80174639096217
60,2020-04-30,78,68.31223244375627,55.17526466611083
61,2020-05-01,79,69.18803029559929,55.92594853911914
62,2020-05-02,40,35.03191407372116,52.798099068251176
63,2020-05-03,53,46.41728614768054,53.17344100475533
64,2020-05-04,27,23.646541999761784,49.5451356185485
65,2020-05-05,55,48.1688818513666,50.92138938573041
66,2020-05-06,40,35.03191407372116,46.54240012651526
67,2020-05-07,47,41.162499036622364,42.66386678263898
68,2020-05-08,56,49.044679703209624,39.786245269440464
69,2020-05-09,37,32.40452051819207,39.41090333293631
70,2020-05-10,36,31.528722666349047,37.283965692746094
71,2020-05-11,41,35.90771192556419,39.03556139643215
72,2020-05-12,38,33.280318370035104,36.90862375624194
73,2020-05-13,48,42.038296888465396,37.90953558691969
74,2020-05-14,36,31.528722666349047,36.53328181973778
75,2020-05-15,42,36.78350977740722,34.78168611605172
76,2020-05-16,32,28.02553125897693,34.156116221878136
77,2020-05-17,19,16.640159185017552,32.02917858168792
78,2020-05-18,27,23.646541999761784,30.277582878001862
79,2020-05-19,31,27.1497334071339,29.401785026158834
80,2020-05-20,29,25.39813770344784,27.024619428299182
81,2020-05-21,22,19.267552740546638,25.27302372461312
82,2020-05-22,27,23.646541999761784,23.396314042092346
83,2020-05-23,22,19.267552740546638,22.14517425374516
84,2020-05-24,23,20.14335059238967,22.645630169084036
85,2020-05-25,16,14.012765629488465,21.269376401902132
86,2020-05-26,32,28.02553125897693,21.39449038073685
87,2020-05-27,30,26.273935555290873,21.51960435957157
88,2020-05-28,26,22.770744147918755,22.020060274910445
89,2020-05-29,18,15.764361333174524,20.89403446539798
90,2020-05-30,18,15.764361333174524,20.393578550059104
91,2020-05-31,17,14.888563481331493,19.642894677050794
92,2020-06-01,14,12.261169925802406,19.392666719381356
93,2020-06-02,16,14.012765629488465,17.39084305802586
94,2020-06-03,17,14.888563481331493,15.764361333174524
95,2020-06-04,19,16.640159185017552,14.888563481331493
96,2020-06-05,20,17.51595703686058,15.138791439000931
97,2020-06-06,14,12.261169925802406,14.638335523662057
98,2020-06-07,9,7.882180666587262,13.63742369298431
99,2020-06-08,21,18.39175488870361,14.513221544827339
100,2020-06-09,20,17.51595703686058,15.013677460166212
101,2020-06-10,7,6.130584962901203,13.762537671819027
102,2020-06-11,9,7.882180666587262,12.511397883471844
103,2020-06-12,18,15.764361333174524,12.261169925802406
104,2020-06-13,7,6.130584962901203,11.385372073959378
105,2020-06-14,16,14.012765629488465,12.261169925802406
106,2020-06-15,28,24.522339851604812,13.136967777645436
107,2020-06-16,20,17.51595703686058,13.136967777645436
108,2020-06-17,18,15.764361333174524,14.513221544827339
109,2020-06-18,15,13.136967777645436,15.26390541783565
110,2020-06-19,9,7.882180666587262,14.137879608323184
111,2020-06-20,8,7.006382814744232,14.2629935871579
112,2020-06-21,14,12.261169925802406,14.012765629488465
113,2020-06-22,17,14.888563481331493,12.636511862306563
114,2020-06-23,19,16.640159185017552,12.511397883471844
115,2020-06-24,11,9.633776370273319,11.635600031628815
116,2020-06-25,10,8.75797851843029,11.010030137455223
117,2020-06-26,9,7.882180666587262,11.010030137455223
118,2020-06-27,5,4.378989259215145,10.634688200951066
119,2020-06-28,8,7.006382814744232,9.884004327942757
120,2020-06-29,7,6.130584962901203,8.632864539595571
121,2020-06-30,13,11.385372073959378,7.882180666587261
122,2020-07-01,8,7.006382814744232,7.506838730083106
123,2020-07-02,19,16.640159185017552,8.632864539595571
124,2020-07-03,9,7.882180666587262,8.632864539595571
125,2020-07-04,7,6.130584962901203,8.88309249726501
126,2020-07-05,7,6.130584962901203,8.75797851843029
127,2020-07-06,12,10.509574222116349,9.383548412603883
128,2020-07-07,6,5.2547871110581745,8.507750560760854
129,2020-07-08,9,7.882180666587262,8.632864539595571
130,2020-07-09,7,6.130584962901203,7.131496793578951
131,2020-07-10,11,9.633776370273319,7.381724751248387
132,2020-07-11,22,19.267552740546638,9.258434433769164
133,2020-07-12,13,11.385372073959378,10.009118306777475
134,2020-07-13,13,11.385372073959378,10.134232285612192
135,2020-07-14,24,21.019148444232698,12.386283904637125
136,2020-07-15,29,25.39813770344784,14.888563481331493
137,2020-07-16,20,17.51595703686058,16.515045206182833
138,2020-07-17,26,22.770744147918755,18.39175488870361
139,2020-07-18,16,14.012765629488465,17.6410710156953
140,2020-07-19,21,18.39175488870361,18.641982846373047
141,2020-07-20,22,19.267552740546638,19.768008655885513
142,2020-07-21,21,18.39175488870361,19.392666719381356
143,2020-07-22,24,21.019148444232698,18.767096825207766
144,2020-07-23,26,22.770744147918755,19.517780698216075
145,2020-07-24,23,20.14335059238967,19.142438761711922
146,2020-07-25,19,16.640159185017552,19.517780698216075
147,2020-07-26,17,14.888563481331493,19.017324782877203
148,2020-07-27,23,20.14335059238967,19.142438761711922
149,2020-07-28,23,20.14335059238967,19.39266671938136
150,2020-07-29,26,22.770744147918755,19.642894677050794
151,2020-07-30,24,21.019148444232698,19.39266671938136
152,2020-07-31,20,17.51595703686058,19.017324782877203
153,2020-08-01,16,14.012765629488465,18.641982846373047
154,2020-08-02,12,10.509574222116349,18.016412952199456
155,2020-08-03,29,25.39813770344784,18.767096825207766
156,2020-08-04,33,28.901329110819958,20.01823661355495
157,2020-08-05,34,29.777126962662987,21.019148444232698
158,2020-08-06,58,50.79627540689568,25.27302372461312
159,2020-08-07,31,27.1497334071339,26.649277491795026
160,2020-08-08,33,28.901329110819958,28.77621513198524
161,2020-08-09,43,37.65930762925025,32.65474847586151
162,2020-08-10,64,56.05106251795386,37.033737735076656
163,2020-08-11,73,63.93324318454112,42.038296888465396
164,2020-08-12,59,51.67207325873871,45.166146359333354
165,2020-08-13,46,40.28670118477934,43.664778613316734
166,2020-08-14,60,52.547871110581745,47.29308399952357
167,2020-08-15,29,25.39813770344784,46.7926280841847
168,2020-08-16,24,21.019148444232698,44.41546248632505
169,2020-08-17,47,41.162499036622364,42.288524846134834
170,2020-08-18,34,29.777126962662987,37.40907967158081
171,2020-08-19,38,33.280318370035104,34.78168611605172
172,2020-08-20,59,51.67207325873871,36.40816784090306
173,2020-08-21,45,39.41090333293631,34.531458158382286
174,2020-08-22,30,26.273935555290873,34.656572137217005
175,2020-08-23,32,28.02553125897693,35.657483967894755
176,2020-08-24,43,37.65930762925025,35.15702805255588
177,2020-08-25,50,43.78989259215145,37.158851713911375
178,2020-08-26,47,41.162499036622364,38.284877523423845
179,2020-08-27,50,43.78989259215145,37.158851713911375
180,2020-08-28,72,63.057445332698094,40.53692914244878
181,2020-08-29,58,50.79627540689568,44.04012054982089
182,2020-08-30,36,31.528722666349047,44.540576465159766
183,2020-08-31,53,46.41728614768054,45.79171625350695
184,2020-09-01,95,83.20079592508776,51.421845301069276
185,2020-09-02,132,115.60531644327983,62.05653350202034
186,2020-09-03,159,139.2518584430416,75.69395719500466
187,2020-09-04,214,187.4207402944082,93.46014218953466
188,2020-09-05,157,137.50026273935555,105.84642609417179
189,2020-09-06,113,98.96515725826228,115.48020246444511
190,2020-09-07,183,160.27100688727432,131.7450197129585
191,2020-09-08,150,131.36967777645435,138.62628854886802
192,2020-09-09,152,133.12127348014042,141.1285681255624
193,2020-09-10,160,140.12765629488464,141.25368210439711
194,2020-09-11,144,126.11489066539619,132.49570358596682
195,2020-09-12,132,115.60531644327983,129.36785411509885
196,2020-09-13,90,78.82180666587261,126.49023260190035
197,2020-09-14,110,96.3377637027332,117.3569121469659
198,2020-09-15,127,111.22632718406469,114.47929063376736
199,2020-09-16,180,157.64361333174523,117.98248204113949
200,2020-09-17,217,190.0481338499373,125.11397883471844
201,2020-09-18,246,215.44627155338515,137.8756046758597
202,2020-09-19,265,232.0864307384027,154.51576386087726
203,2020-09-20,269,235.58962214577483,176.91116607229188
204,2020-09-21,260,227.70744147918757,195.67826289749962
205,2020-09-22,268,234.7138242939318,213.31933391319492
206,2020-09-23,302,264.49095125659477,228.5832393310306
207,2020-09-24,272,238.2170157013039,235.4645081669401
208,2020-09-25,221,193.55132525730943,232.33665869607213
209,2020-09-26,205,179.53855962782094,224.82981996598903
210,2020-09-27,162,141.8792519985707,211.44262423067417
211,2020-09-28,232,203.18510162758272,207.93943282330204
212,2020-09-29,259,226.83164362734453,206.81340701378957
213,2020-09-30,332,290.7648868118856,210.5668263788311
214,2020-10-01,270,236.46541999761783,210.31659842116167
215,2020-10-02,286,250.4781856271063,218.44900704541837
216,2020-10-03,229,200.55770807205366,221.45174253745162
217,2020-10-04,211,184.79334673887914,227.58232750035282
218,2020-10-05,337,295.1438760711008,240.71929527799827
219,2020-10-06,341,298.6470674784729,250.9786415424452
220,2020-10-07,328,287.26169540451355,250.4781856271063
221,2020-10-08,379,331.927385848508,264.11560932009064
222,2020-10-09,290,253.9813770344784,264.61606523542946
223,2020-10-10,272,238.2170157013039,269.9959663253224
224,2020-10-11,233,204.06089947942576,272.74847385968616
225,2020-10-12,379,331.927385848508,278.00326097074435
226,2020-10-13,415,363.4561085148571,287.26169540451355
227,2020-10-14,455,398.4880225885782,303.15117071652276
228,2020-10-15,391,342.43696007062437,304.6525384625394
229,2020-10-16,398,348.56754503352556,318.16484817668896
230,2020-10-17,281,246.09919636789115,319.29087398620146
231,2020-10-18,280,245.22339851604812,325.1712309914332
232,2020-10-19,528,462.42126577311933,343.81321383780625
233,2020-10-20,529,463.2970636249624,358.07620742496414
234,2020-10-21,544,476.4340314026078,369.2113515412541
235,2020-10-22,474,415.12818177359577,379.5958117845357
236,2020-10-23,442,387.10265051461886,385.10082685326336
237,2020-10-24,318,278.5037168860832,389.7300440701479
238,2020-10-25,319,279.3795147379263,394.60948924470193
239,2020-10-26,539,472.05504214339265,395.98574301188387
240,2020-10-27,462,404.61860755147944,387.60310642995773
241,2020-10-28,529,463.2970636249624,385.7263967474369
242,2020-10-29,480,420.38296888465396,386.47708062044524
243,2020-10-30,311,272.37313192318203,370.08714939309715
244,2020-10-31,5,4.378989259215145,330.9264740178303
